song_id,mean_arousal,mean_valence,norm_arousal,norm_valence,emotion
2,3.1,3.0,-0.5588235294117647,-0.5692307692307692,Sad
3,3.5,3.3,-0.4411764705882354,-0.476923076923077,Undefined
4,5.7,5.5,0.20588235294117618,0.19999999999999996,Undefined
5,4.4,5.3,-0.17647058823529416,0.1384615384615384,Undefined
7,5.8,6.4,0.23529411764705843,0.4769230769230772,Undefined
8,3.2,4.8,-0.5294117647058824,-0.015384615384615441,Relaxed
10,4.0,4.7,-0.2941176470588236,-0.0461538461538461,Undefined
12,5.5,5.8,0.1470588235294117,0.29230769230769216,Undefined
13,3.2,4.0,-0.5294117647058824,-0.2615384615384616,Relaxed
17,4.4,6.0,-0.17647058823529416,0.3538461538461539,Undefined
18,4.8,3.9,-0.05882352941176483,-0.2923076923076924,Undefined
19,5.9,4.3,0.26470588235294135,-0.1692307692307693,Undefined
20,5.4,6.5,0.11764705882352944,0.5076923076923079,Peaceful
21,6.6,6.3,0.47058823529411753,0.4461538461538459,Undefined
22,4.0,4.8,-0.2941176470588236,-0.015384615384615441,Undefined
24,5.3,3.9,0.08823529411764697,-0.2923076923076924,Undefined
25,7.9,4.7,0.8529411764705883,-0.0461538461538461,Energetic
31,4.7,3.8,-0.08823529411764708,-0.32307692307692315,Undefined
32,4.2,3.3,-0.23529411764705888,-0.476923076923077,Undefined
35,4.8,6.5,-0.05882352941176483,0.5076923076923079,Peaceful
37,6.6,5.3,0.47058823529411753,0.1384615384615384,Undefined
39,7.3,5.4,0.6764705882352937,0.1692307692307693,Energetic
40,4.6,4.8,-0.11764705882352966,-0.015384615384615441,Undefined
41,4.3,5.1,-0.20588235294117663,0.07692307692307687,Undefined
42,6.1,5.1,0.32352941176470584,0.07692307692307687,Undefined
43,6.7,3.5,0.4999999999999998,-0.41538461538461546,Undefined
44,3.9,4.9,-0.32352941176470595,0.015384615384615552,Undefined
45,5.1,2.1,0.029411764705882026,-0.8461538461538461,Calm
46,5.3,4.0,0.08823529411764697,-0.2615384615384616,Undefined
47,4.4,4.4,-0.17647058823529416,-0.1384615384615384,Undefined
48,4.5,4.8,-0.1470588235294119,-0.015384615384615441,Undefined
49,3.9,5.3,-0.32352941176470595,0.1384615384615384,Undefined
50,3.6,4.8,-0.41176470588235303,-0.015384615384615441,Undefined
51,3.6,3.2,-0.41176470588235303,-0.5076923076923077,Calm
